episode,reward_agent_0,red_coins,blue_coins
671,11.0,6,5
672,16.0,9,7
673,22.0,10,12
674,19.0,13,6
675,12.0,8,4
676,18.0,7,11
677,23.0,10,13
678,12.0,4,8
679,14.0,8,6
680,18.0,11,7
681,15.0,7,8
682,17.0,9,8
683,13.0,8,5
684,10.0,6,4
685,14.0,6,8
686,14.0,3,11
687,16.0,9,7
688,11.0,5,6
689,15.0,8,7
690,14.0,6,8
691,19.0,9,10
692,19.0,9,10
693,20.0,8,12
694,16.0,5,11
695,13.0,9,4
696,15.0,10,5
697,12.0,6,6
698,22.0,11,11
699,24.0,11,13
700,13.0,7,6
701,15.0,9,6
702,15.0,6,9
703,20.0,7,13
704,15.0,7,8
705,26.0,14,12
706,15.0,7,8
707,18.0,9,9
708,15.0,6,9
709,13.0,5,8
710,12.0,4,8
711,17.0,6,11
712,14.0,8,6
713,13.0,8,5
714,11.0,7,4
715,17.0,9,8
716,10.0,5,5
717,15.0,7,8
718,12.0,4,8
719,17.0,12,5
720,21.0,7,14
721,13.0,6,7
722,18.0,8,10
723,15.0,6,9
724,9.0,3,6
725,22.0,13,9
726,17.0,6,11
727,12.0,6,6
728,16.0,9,7
729,18.0,9,9
730,18.0,6,12
731,14.0,9,5
732,14.0,6,8
733,23.0,12,11
734,20.0,13,7
735,11.0,3,8
736,14.0,10,4
737,17.0,10,7
738,19.0,10,9
739,19.0,10,9
740,20.0,8,12
741,19.0,12,7
742,16.0,8,8
743,25.0,12,13
744,15.0,10,5
745,20.0,9,11
746,19.0,6,13
747,16.0,9,7
748,18.0,8,10
749,14.0,7,7
750,19.0,11,8
751,17.0,7,10
752,18.0,8,10
753,18.0,7,11
754,14.0,9,5
755,21.0,10,11
756,16.0,10,6
757,21.0,12,9
758,16.0,8,8
759,16.0,9,7
760,12.0,5,7
761,17.0,6,11
762,25.0,12,13
763,18.0,10,8
764,15.0,6,9
765,17.0,8,9
766,22.0,14,8
767,15.0,5,10
768,22.0,13,9
769,15.0,10,5
770,12.0,6,6
771,15.0,10,5
772,19.0,13,6
773,14.0,5,9
774,23.0,9,14
775,14.0,7,7
776,16.0,10,6
777,13.0,7,6
778,13.0,8,5
779,26.0,11,15
780,15.0,7,8
781,16.0,11,5
782,22.0,10,12
783,18.0,7,11
784,19.0,8,11
785,15.0,7,8
786,12.0,8,4
787,13.0,8,5
788,21.0,8,13
789,13.0,5,8
790,16.0,9,7
791,19.0,10,9
792,20.0,10,10
793,13.0,3,10
794,16.0,10,6
795,16.0,10,6
796,16.0,10,6
797,18.0,11,7
798,16.0,10,6
799,22.0,13,9
800,14.0,6,8
801,18.0,9,9
802,22.0,11,11
803,20.0,10,10
804,16.0,6,10
805,19.0,9,10
806,19.0,10,9
807,8.0,4,4
808,19.0,7,12
809,27.0,15,12
810,18.0,7,11
811,16.0,8,8
812,21.0,10,11
813,20.0,7,13
814,24.0,14,10
815,16.0,8,8
816,14.0,7,7
817,19.0,11,8
818,20.0,8,12
819,12.0,6,6
820,24.0,13,11
821,19.0,10,9
822,17.0,11,6
823,14.0,7,7
824,17.0,13,4
825,18.0,12,6
826,20.0,13,7
827,24.0,10,14
828,24.0,16,8
829,18.0,7,11
830,19.0,9,10
831,19.0,7,12
832,20.0,13,7
833,18.0,10,8
834,28.0,14,14
835,21.0,11,10
836,19.0,13,6
837,23.0,13,10
838,13.0,8,5
839,22.0,13,9
840,15.0,11,4
841,20.0,11,9
842,19.0,12,7
843,19.0,7,12
844,19.0,8,11
845,15.0,6,9
846,19.0,11,8
847,13.0,4,9
848,16.0,8,8
849,26.0,10,16
850,18.0,11,7
851,20.0,5,15
852,18.0,9,9
853,25.0,12,13
854,21.0,9,12
855,20.0,12,8
856,21.0,10,11
857,25.0,15,10
858,18.0,5,13
859,16.0,8,8
860,16.0,9,7
861,24.0,15,9
862,29.0,15,14
863,7.0,2,5
864,14.0,11,3
865,20.0,10,10
866,14.0,4,10
867,13.0,8,5
868,24.0,11,13
869,20.0,8,12
870,20.0,12,8
871,22.0,10,12
872,21.0,7,14
873,20.0,12,8
874,11.0,5,6
875,18.0,7,11
876,19.0,13,6
877,16.0,9,7
878,22.0,11,11
879,16.0,9,7
880,20.0,8,12
881,24.0,14,10
882,7.0,2,5
883,8.0,2,6
884,17.0,9,8
885,21.0,13,8
886,23.0,9,14
887,21.0,9,12
888,22.0,13,9
889,28.0,17,11
890,20.0,5,15
891,16.0,7,9
892,18.0,13,5
893,25.0,6,19
894,20.0,10,10
895,16.0,8,8
896,19.0,9,10
897,16.0,7,9
898,22.0,10,12
899,20.0,9,11
900,28.0,12,16
901,22.0,10,12
902,21.0,9,12
903,17.0,7,10
904,16.0,11,5
905,20.0,7,13
906,17.0,6,11
907,16.0,5,11
908,20.0,11,9
909,19.0,9,10
910,29.0,9,20
911,17.0,7,10
912,26.0,13,13
913,17.0,9,8
914,25.0,15,10
915,22.0,12,10
916,15.0,10,5
917,24.0,9,15
918,29.0,15,14
919,26.0,15,11
920,30.0,9,21
921,30.0,11,19
922,33.0,16,17
923,20.0,9,11
924,25.0,14,11
925,23.0,10,13
926,18.0,10,8
927,26.0,11,15
928,31.0,13,18
929,21.0,15,6
930,20.0,5,15
931,27.0,10,17
932,23.0,12,11
933,29.0,13,16
934,25.0,11,14
935,24.0,12,12
936,16.0,6,10
937,29.0,20,9
938,21.0,13,8
939,19.0,8,11
940,30.0,14,16
941,24.0,9,15
942,24.0,11,13
943,32.0,15,17
944,23.0,13,10
945,29.0,14,15
946,28.0,16,12
947,26.0,15,11
948,23.0,11,12
949,23.0,14,9
950,27.0,14,13
951,23.0,5,18
952,24.0,11,13
953,23.0,13,10
954,24.0,7,17
955,21.0,12,9
956,28.0,9,19
957,23.0,14,9
958,31.0,20,11
959,28.0,14,14
960,25.0,7,18
961,30.0,15,15
962,25.0,14,11
963,36.0,12,24
964,22.0,8,14
965,26.0,11,15
966,24.0,9,15
967,21.0,12,9
968,31.0,11,20
969,24.0,7,17
970,31.0,14,17
971,21.0,3,18
972,24.0,11,13
973,23.0,12,11
974,28.0,11,17
975,21.0,8,13
976,27.0,16,11
977,28.0,13,15
978,24.0,10,14
979,33.0,14,19
980,33.0,13,20
981,26.0,14,12
982,26.0,9,17
983,34.0,11,23
984,28.0,15,13
985,28.0,15,13
986,25.0,12,13
987,25.0,9,16
988,30.0,17,13
989,35.0,16,19
990,27.0,15,12
991,27.0,15,12
992,34.0,15,19
993,28.0,17,11
994,29.0,15,14
995,25.0,13,12
996,28.0,12,16
997,25.0,13,12
998,25.0,14,11
999,29.0,14,15
1000,26.0,9,17
1001,32.0,17,15
1002,26.0,11,15
1003,27.0,14,13
1004,31.0,13,18
1005,28.0,13,15
1006,30.0,15,15
1007,33.0,14,19
1008,20.0,11,9
1009,21.0,9,12
1010,29.0,15,14
1011,34.0,17,17
1012,33.0,16,17
1013,22.0,12,10
1014,21.0,10,11
1015,23.0,8,15
1016,30.0,16,14
1017,31.0,17,14
1018,25.0,13,12
1019,27.0,14,13
1020,27.0,15,12
1021,24.0,11,13
1022,29.0,15,14
1023,32.0,16,16
1024,25.0,9,16
1025,25.0,14,11
1026,27.0,13,14
1027,27.0,11,16
1028,35.0,17,18
1029,32.0,17,15
1030,26.0,16,10
1031,29.0,14,15
1032,30.0,16,14
1033,30.0,16,14
1034,25.0,10,15
1035,26.0,14,12
1036,27.0,13,14
1037,27.0,10,17
1038,31.0,13,18
1039,33.0,20,13
1040,29.0,12,17
1041,23.0,12,11
1042,31.0,10,21
1043,32.0,19,13
1044,26.0,14,12
1045,24.0,15,9
1046,29.0,15,14
1047,32.0,13,19
1048,36.0,22,14
1049,28.0,14,14
1050,33.0,16,17
1051,31.0,11,20
1052,26.0,14,12
1053,28.0,15,13
1054,31.0,14,17
1055,31.0,15,16
1056,25.0,14,11
1057,20.0,8,12
1058,27.0,13,14
1059,24.0,11,13
1060,32.0,15,17
1061,32.0,14,18
1062,31.0,15,16
1063,32.0,17,15
1064,29.0,12,17
1065,21.0,7,14
1066,33.0,14,19
1067,22.0,12,10
1068,38.0,23,15
1069,30.0,13,17
1070,30.0,15,15
1071,28.0,12,16
1072,26.0,11,15
1073,31.0,14,17
1074,34.0,18,16
1075,28.0,12,16
1076,31.0,12,19
1077,29.0,15,14
1078,24.0,12,12
1079,29.0,13,16
1080,28.0,16,12
1081,34.0,14,20
1082,22.0,12,10
1083,22.0,12,10
1084,28.0,15,13
1085,24.0,14,10
1086,26.0,8,18
1087,29.0,17,12
1088,28.0,17,11
1089,33.0,19,14
1090,29.0,11,18
1091,33.0,23,10
1092,22.0,7,15
1093,25.0,10,15
1094,29.0,11,18
1095,17.0,8,9
1096,34.0,21,13
1097,29.0,16,13
1098,27.0,12,15
1099,34.0,20,14
1100,29.0,17,12
1101,29.0,19,10
1102,30.0,11,19
1103,23.0,13,10
1104,30.0,13,17
1105,30.0,18,12
1106,29.0,14,15
1107,28.0,9,19
1108,25.0,14,11
1109,33.0,16,17
1110,26.0,10,16
1111,20.0,13,7
1112,24.0,15,9
1113,21.0,15,6
1114,28.0,12,16
1115,23.0,13,10
1116,25.0,9,16
1117,20.0,4,16
1118,27.0,12,15
1119,26.0,12,14
1120,23.0,10,13
1121,25.0,5,20
1122,30.0,13,17
1123,26.0,13,13
1124,26.0,16,10
1125,32.0,15,17
1126,31.0,18,13
1127,38.0,19,19
1128,29.0,14,15
1129,27.0,15,12
1130,28.0,15,13
1131,29.0,14,15
1132,30.0,9,21
1133,28.0,20,8
1134,31.0,16,15
1135,32.0,17,15
1136,29.0,15,14
1137,34.0,15,19
