episode,reward_agent_0,reward_agent_1,a0_red_coins,a0_blue_coins,a1_red_coins,a1_blue_coins
355,13.0,8.0,20,7,8,16
356,14.0,17.0,20,6,7,24
357,20.0,4.0,26,6,9,13
358,16.0,11.0,23,7,6,17
359,17.0,10.0,21,4,8,18
360,5.0,6.0,16,11,8,14
361,10.0,7.0,16,6,12,19
362,23.0,3.0,25,2,8,11
363,13.0,20.0,20,7,5,25
364,13.0,12.0,21,8,7,19
365,18.0,10.0,22,4,7,17
366,9.0,17.0,15,6,5,22
367,18.0,16.0,25,7,4,20
368,13.0,13.0,20,7,9,22
369,18.0,5.0,25,7,7,12
370,17.0,18.0,21,4,7,25
371,15.0,9.0,23,8,9,18
372,15.0,12.0,21,6,5,17
373,12.0,12.0,20,8,5,17
374,4.0,9.0,15,11,10,19
375,7.0,24.0,15,8,7,31
376,14.0,13.0,23,9,5,18
377,14.0,12.0,20,6,9,21
378,19.0,8.0,24,5,8,16
379,16.0,16.0,20,4,9,25
380,2.0,9.0,11,9,9,18
381,13.0,11.0,20,7,11,22
382,19.0,10.0,24,5,10,20
383,16.0,8.0,20,4,13,21
384,22.0,5.0,28,6,9,14
385,8.0,17.0,18,10,5,22
386,2.0,4.0,4,2,2,6
387,13.0,21.0,17,4,3,24
388,8.0,12.0,15,7,5,17
389,16.0,17.0,18,2,7,24
390,11.0,5.0,21,10,9,14
391,4.0,18.0,13,9,7,25
392,5.0,8.0,14,9,8,16
393,12.0,12.0,21,9,5,17
394,8.0,17.0,15,7,4,21
395,16.0,16.0,24,8,6,22
396,13.0,23.0,21,8,7,30
397,14.0,20.0,21,7,8,28
398,15.0,25.0,25,10,6,31
399,18.0,21.0,23,5,3,24
400,16.0,13.0,24,8,7,20
401,12.0,12.0,18,6,10,22
402,21.0,16.0,26,5,6,22
403,16.0,11.0,20,4,8,19
404,6.0,11.0,15,9,9,20
405,14.0,16.0,18,4,9,25
406,23.0,8.0,29,6,10,18
407,11.0,8.0,24,13,8,16
408,21.0,8.0,25,4,8,16
409,11.0,13.0,17,6,7,20
410,17.0,8.0,19,2,12,20
411,9.0,18.0,12,3,3,21
412,7.0,19.0,15,8,4,23
413,18.0,13.0,22,4,8,21
414,21.0,18.0,25,4,2,20
415,14.0,14.0,19,5,7,21
416,5.0,17.0,14,9,7,24
417,18.0,14.0,22,4,4,18
418,15.0,19.0,22,7,5,24
419,7.0,15.0,16,9,7,22
420,25.0,9.0,30,5,5,14
421,23.0,5.0,26,3,9,14
422,11.0,13.0,18,7,3,16
423,14.0,15.0,22,8,3,18
424,18.0,13.0,28,10,12,25
425,15.0,12.0,22,7,6,18
426,9.0,15.0,18,9,9,24
427,12.0,15.0,19,7,9,24
428,13.0,16.0,21,8,7,23
429,14.0,15.0,23,9,7,22
430,1.0,15.0,19,18,7,22
431,6.0,16.0,16,10,3,19
432,17.0,4.0,22,5,8,12
433,12.0,9.0,20,8,11,20
434,11.0,11.0,19,8,6,17
435,8.0,15.0,15,7,9,24
436,18.0,9.0,22,4,8,17
437,20.0,11.0,25,5,12,23
438,8.0,17.0,13,5,7,24
439,12.0,9.0,20,8,10,19
440,17.0,6.0,19,2,5,11
441,6.0,17.0,18,12,8,25
442,13.0,17.0,19,6,4,21
443,10.0,13.0,15,5,5,18
444,20.0,9.0,25,5,14,23
445,12.0,15.0,21,9,7,22
446,18.0,8.0,24,6,8,16
447,7.0,21.0,18,11,4,25
448,12.0,14.0,19,7,8,22
449,3.0,10.0,14,11,9,19
450,19.0,16.0,25,6,4,20
451,11.0,11.0,20,9,4,15
452,11.0,12.0,21,10,6,18
453,12.0,17.0,20,8,6,23
454,12.0,16.0,22,10,3,19
455,13.0,15.0,21,8,5,20
456,0.0,6.0,6,6,9,15
457,12.0,14.0,18,6,8,22
458,11.0,13.0,17,6,4,17
459,18.0,14.0,24,6,5,19
460,18.0,13.0,22,4,10,23
461,21.0,23.0,29,8,4,27
462,11.0,12.0,21,10,9,21
463,12.0,11.0,19,7,7,18
464,17.0,12.0,23,6,9,21
465,25.0,19.0,30,5,4,23
466,12.0,18.0,18,6,6,24
467,13.0,11.0,21,8,9,20
468,15.0,9.0,20,5,9,18
469,9.0,13.0,17,8,5,18
470,12.0,14.0,20,8,6,20
471,11.0,22.0,16,5,2,24
472,15.0,14.0,24,9,4,18
473,12.0,13.0,19,7,8,21
474,11.0,11.0,20,9,10,21
475,12.0,15.0,21,9,10,25
476,18.0,9.0,26,8,11,20
477,20.0,13.0,24,4,4,17
478,21.0,11.0,27,6,13,24
479,12.0,12.0,20,8,7,19
480,10.0,9.0,19,9,6,15
481,8.0,15.0,15,7,6,21
482,11.0,18.0,20,9,9,27
483,11.0,15.0,18,7,5,20
484,15.0,11.0,22,7,6,17
485,14.0,12.0,23,9,7,19
486,11.0,14.0,19,8,5,19
487,15.0,9.0,23,8,10,19
488,14.0,21.0,18,4,4,25
489,14.0,13.0,20,6,6,19
490,11.0,23.0,20,9,6,29
491,8.0,16.0,15,7,7,23
492,14.0,17.0,20,6,9,26
493,16.0,18.0,24,8,4,22
494,10.0,12.0,17,7,7,19
495,13.0,18.0,22,9,5,23
496,8.0,19.0,17,9,6,25
497,13.0,21.0,22,9,5,26
498,14.0,17.0,21,7,5,22
499,11.0,16.0,18,7,5,21
500,15.0,15.0,21,6,7,22
501,15.0,17.0,22,7,3,20
502,24.0,24.0,26,2,2,26
503,4.0,20.0,13,9,5,25
504,11.0,14.0,19,8,9,23
505,6.0,21.0,15,9,6,27
506,12.0,15.0,22,10,8,23
507,19.0,16.0,24,5,7,23
508,3.0,15.0,14,11,6,21
509,14.0,12.0,19,5,10,22
510,15.0,6.0,22,7,11,17
511,23.0,27.0,24,1,1,28
512,1.0,16.0,12,11,5,21
513,13.0,26.0,15,2,1,27
514,18.0,7.0,21,3,6,13
515,20.0,16.0,24,4,4,20
516,25.0,17.0,26,1,6,23
517,18.0,12.0,24,6,8,20
518,16.0,17.0,23,7,7,24
519,19.0,11.0,26,7,7,18
520,17.0,11.0,24,7,12,23
521,24.0,16.0,24,0,4,20
522,10.0,24.0,18,8,2,26
523,20.0,16.0,23,3,6,22
524,12.0,22.0,20,8,4,26
525,18.0,16.0,25,7,5,21
526,11.0,21.0,14,3,4,25
527,9.0,13.0,15,6,7,20
528,17.0,21.0,24,7,2,23
529,9.0,12.0,16,7,8,20
530,19.0,16.0,27,8,6,22
531,24.0,19.0,28,4,7,26
532,17.0,16.0,19,2,7,23
533,6.0,19.0,17,11,6,25
534,14.0,20.0,16,2,4,24
535,15.0,16.0,18,3,6,22
536,15.0,20.0,21,6,8,28
537,16.0,6.0,30,14,12,18
538,11.0,12.0,20,9,9,21
539,19.0,12.0,26,7,3,15
540,10.0,16.0,19,9,9,25
541,15.0,14.0,26,11,9,23
542,19.0,9.0,23,4,7,16
543,22.0,12.0,26,4,6,18
544,13.0,12.0,18,5,10,22
545,20.0,12.0,27,7,8,20
546,16.0,21.0,22,6,6,27
547,14.0,10.0,21,7,10,20
548,24.0,23.0,25,1,3,26
549,9.0,12.0,21,12,8,20
550,12.0,16.0,20,8,7,23
551,13.0,12.0,20,7,6,18
552,19.0,15.0,23,4,7,22
553,22.0,9.0,25,3,3,12
554,21.0,17.0,23,2,8,25
555,14.0,18.0,21,7,2,20
556,8.0,12.0,14,6,9,21
557,11.0,18.0,16,5,8,26
558,13.0,16.0,21,8,7,23
559,15.0,13.0,21,6,4,17
560,24.0,21.0,28,4,3,24
561,18.0,20.0,24,6,4,24
562,13.0,18.0,21,8,4,22
563,16.0,23.0,22,6,5,28
564,12.0,8.0,18,6,14,22
565,11.0,16.0,21,10,6,22
566,23.0,13.0,29,6,10,23
567,18.0,11.0,23,5,11,22
568,13.0,10.0,18,5,11,21
569,13.0,10.0,22,9,12,22
570,17.0,10.0,23,6,7,17
571,26.0,15.0,30,4,7,22
572,18.0,16.0,26,8,7,23
573,17.0,14.0,21,4,7,21
574,13.0,12.0,20,7,10,22
575,14.0,12.0,19,5,7,19
576,11.0,14.0,21,10,8,22
577,22.0,17.0,27,5,6,23
578,13.0,17.0,24,11,6,23
579,17.0,16.0,22,5,9,25
580,17.0,20.0,23,6,5,25
581,13.0,17.0,21,8,5,22
582,16.0,13.0,19,3,8,21
583,25.0,10.0,26,1,6,16
584,20.0,9.0,27,7,7,16
585,21.0,17.0,26,5,4,21
586,11.0,11.0,25,14,8,19
587,12.0,19.0,19,7,6,25
588,13.0,6.0,22,9,10,16
589,18.0,17.0,24,6,5,22
590,3.0,12.0,13,10,8,20
591,19.0,16.0,27,8,3,19
592,15.0,17.0,22,7,5,22
593,17.0,16.0,23,6,4,20
594,14.0,8.0,19,5,11,19
595,18.0,12.0,23,5,8,20
596,22.0,9.0,24,2,10,19
597,15.0,24.0,18,3,4,28
598,17.0,12.0,20,3,8,20
599,15.0,16.0,24,9,5,21
600,3.0,10.0,12,9,7,17
601,12.0,16.0,24,12,5,21
602,18.0,18.0,24,6,4,22
603,24.0,11.0,30,6,5,16
604,19.0,28.0,25,6,2,30
605,20.0,17.0,26,6,7,24
606,25.0,10.0,30,5,9,19
607,16.0,17.0,23,7,2,19
608,22.0,22.0,25,3,2,24
609,14.0,21.0,23,9,7,28
610,10.0,20.0,15,5,6,26
611,12.0,17.0,19,7,6,23
612,9.0,18.0,15,6,7,25
613,17.0,8.0,22,5,7,15
614,13.0,22.0,18,5,4,26
615,12.0,18.0,19,7,3,21
616,14.0,13.0,19,5,7,20
617,12.0,10.0,20,8,9,19
618,15.0,11.0,18,3,9,20
619,17.0,11.0,25,8,11,22
620,11.0,15.0,21,10,10,25
621,20.0,21.0,22,2,4,25
622,8.0,16.0,18,10,4,20
623,12.0,15.0,16,4,6,21
624,11.0,19.0,19,8,6,25
625,12.0,11.0,17,5,8,19
626,15.0,14.0,21,6,5,19
627,19.0,15.0,25,6,5,20
628,9.0,24.0,17,8,2,26
629,10.0,8.0,16,6,10,18
630,16.0,9.0,25,9,11,20
631,16.0,16.0,24,8,2,18
632,9.0,11.0,16,7,11,22
633,10.0,16.0,17,7,6,22
634,14.0,16.0,20,6,8,24
635,18.0,16.0,20,2,5,21
636,16.0,17.0,20,4,6,23
637,13.0,12.0,22,9,7,19
638,20.0,16.0,23,3,5,21
639,11.0,14.0,22,11,9,23
640,5.0,19.0,17,12,9,28
641,15.0,16.0,20,5,9,25
642,16.0,17.0,22,6,3,20
643,13.0,19.0,20,7,3,22
644,15.0,11.0,22,7,8,19
645,19.0,17.0,25,6,6,23
646,16.0,22.0,23,7,1,23
647,15.0,14.0,20,5,9,23
648,7.0,14.0,18,11,3,17
649,16.0,18.0,23,7,6,24
650,14.0,15.0,18,4,9,24
651,20.0,12.0,26,6,7,19
652,16.0,15.0,21,5,5,20
653,14.0,13.0,20,6,6,19
654,8.0,20.0,16,8,7,27
655,20.0,12.0,23,3,10,22
656,10.0,14.0,19,9,8,22
657,19.0,16.0,24,5,6,22
658,10.0,18.0,19,9,5,23
659,20.0,17.0,23,3,8,25
660,17.0,21.0,18,1,5,26
661,12.0,17.0,17,5,6,23
662,14.0,12.0,22,8,6,18
663,17.0,21.0,23,6,2,23
664,17.0,14.0,25,8,7,21
665,18.0,15.0,21,3,8,23
666,15.0,16.0,21,6,6,22
667,17.0,13.0,23,6,5,18
668,17.0,13.0,18,1,9,22
669,11.0,7.0,20,9,6,13
670,9.0,17.0,19,10,5,22
671,8.0,18.0,12,4,4,22
672,19.0,10.0,25,6,15,25
673,18.0,19.0,22,4,4,23
674,19.0,17.0,26,7,10,27
675,11.0,23.0,21,10,5,28
676,15.0,16.0,21,6,7,23
677,21.0,17.0,22,1,8,25
678,24.0,15.0,27,3,2,17
679,17.0,14.0,22,5,5,19
680,18.0,14.0,23,5,3,17
681,17.0,15.0,23,6,7,22
682,19.0,12.0,24,5,8,20
683,15.0,17.0,23,8,5,22
684,16.0,21.0,22,6,4,25
685,17.0,14.0,24,7,5,19
686,15.0,12.0,22,7,5,17
687,17.0,15.0,24,7,8,23
688,15.0,11.0,24,9,7,18
689,16.0,14.0,22,6,5,19
690,8.0,13.0,15,7,11,24
691,10.0,20.0,20,10,7,27
692,18.0,15.0,21,3,8,23
693,16.0,15.0,25,9,3,18
694,12.0,15.0,18,6,6,21
695,1.0,16.0,14,13,4,20
696,8.0,22.0,18,10,5,27
697,16.0,19.0,20,4,4,23
698,17.0,22.0,25,8,3,25
699,20.0,20.0,25,5,2,22
